seed,pen-cloned_ST1,pen-cloned_ST2,pen-cloned_ST4,pen-cloned_ST8,pen-cloned_ST16,kitchen-partial_ST1,kitchen-partial_ST2,kitchen-partial_ST4,kitchen-partial_ST8,kitchen-partial_ST16
0,-0.03902656078922699,-0.03696342730951514,-0.0324519086849087,-0.05312125023096529,-0.04667749443137286,0.25,0.0,0.0,0.0,0.0
1,-0.00839764382733537,-0.005953458598238788,-0.005961940398453593,-0.008864124142490508,-0.006375156424613092,0.0,0.25,0.0,0.0,0.25
2,-0.03872713168798747,-0.020413686478425785,0.2774047763589274,-0.019129007368373915,-0.03883638482906231,0.0,0.0,0.0,0.0,0.0
3,-0.043501705999687626,-0.04633253459504044,-0.03400590241434491,-0.034423260363515965,-0.04716232570582384,0.0,0.0,0.0,0.25,0.25
4,-0.01950976669554629,-0.024017642872275976,-0.03807672646857188,-0.0318056145487803,-0.030104936544195042,0.0,0.0,0.25,0.25,0.0
5,0.029309895041956687,-0.014677677720473776,-0.01432511666014896,-0.016178353386942942,-0.011871978622155756,0.0,0.25,0.0,0.25,0.0
6,0.2531275865472107,-0.03538693764912506,-0.02997905835544417,-0.0309249521065595,-0.03342350682028198,0.25,0.25,0.0,0.0,0.0
7,-0.010711374923285069,0.0022393670251924687,-0.011129177902918203,0.13712624554944333,-0.009360918102496044,0.0,0.0,0.0,0.25,0.25
8,0.058770231747144616,0.3803017671177581,0.2719733817806792,0.7254201506459526,0.06623625967634643,0.25,0.0,0.25,0.0,0.0
9,-0.031134960309259496,-0.042020719816429214,-0.04805743846764972,-0.030649359910382642,-0.038619940057137876,0.0,0.0,0.0,0.0,0.25
10,-0.04049644131664673,-0.041189853333233425,-0.04594878006934681,-0.035917942840637075,-0.04067067053436265,0.0,0.0,0.0,0.25,0.0
11,0.29093087608967355,-0.018034060476714915,-0.03131975166672934,-0.028568709637744442,-0.026961019691348106,0.0,0.25,0.0,0.0,0.25
12,0.3153276816354438,0.36557000508306137,0.8149879298336494,0.0690633113018307,0.05882792608613295,0.0,0.0,0.0,0.0,0.25
13,0.11422259019202813,-0.013824757480107912,0.10116994434505013,-0.011444262996899658,-0.014937060168950474,0.0,0.0,0.0,0.25,0.0
14,0.03516704575186456,-0.03760721205724448,-0.03302673484467525,-0.02967990089423658,-0.029938644068338405,0.0,0.0,0.0,0.25,0.0
15,0.41429617138565783,-0.013897736001860561,-0.013332992781889128,-0.010471893640533645,-0.012541734317839216,0.0,0.25,0.25,0.25,0.25
16,-0.02896928326538062,-0.025946091990053984,-0.02872119412127958,-0.028888126636121166,-0.019217754432441246,0.25,0.0,0.0,0.0,0.0
17,-0.04710395777731154,-0.05293582227106308,-0.03521083647020921,-0.02792261912220259,-0.04315600789974776,0.0,0.0,0.0,0.0,0.0
18,1.3245406814774185,-0.0124440909050452,0.04995647354903288,-0.010531820265006493,-0.017290458397112726,0.25,0.0,0.0,0.0,0.0
19,0.05855062620477665,-0.006043696297211427,0.03837649794465862,0.13398279911223077,0.09560442517636408,0.0,0.0,0.0,0.25,0.0
20,-0.031143939837915226,0.08557694134440177,-0.021940864727970397,-0.025650036751733885,-0.02764139824410131,0.25,0.0,0.0,0.25,0.0
21,-0.03676490702448804,-0.022588794066666393,-0.026759347579978197,-0.024283480668320163,-0.01750347150584528,0.25,0.25,0.0,0.0,0.25
22,-0.04559465547948451,-0.008860036697575732,-0.03149015616806269,-0.03896029424876439,-0.04561406430059468,0.0,0.0,0.0,0.0,0.0
23,0.2591867267839016,-0.024396487145153835,0.5798439310284763,0.1475010229770332,-0.017996139688414667,0.25,0.0,0.0,0.25,0.0
24,-0.03462305451982263,-0.026323507199278104,-0.027667594650318972,-0.029894943828830078,-0.028856221214611136,0.0,0.0,0.25,0.0,0.25
25,-0.05987524834985268,-0.04808980866760642,-0.04123211180526512,-0.05679859501155333,-0.04005997709791664,0.0,0.0,0.0,0.0,0.25
26,-0.042308718194314324,0.031424417398993584,-0.035299442293650854,-0.05661652041269241,-0.03333604290668049,0.25,0.25,0.25,0.25,0.25
27,-0.031737055014743096,-0.03469504179991899,-0.04050824029269197,-0.04950684071224008,-0.03775691659319334,0.0,0.0,0.25,0.0,0.25
28,0.11190779783396852,0.025197920097465822,-0.014488569597974003,-0.015322254579883208,-0.010866571168097163,0.0,0.0,0.25,0.0,0.0
29,-0.02587675987109613,-0.02193633789246286,-0.025701544622019623,-0.026753631167735256,-0.023115893801529702,0.25,0.0,0.0,0.0,0.0
30,-0.018986668440907024,-0.027068032925209623,-0.02587299341381293,-0.022062961865629692,-0.028731479961030218,0.0,0.25,0.0,0.25,0.0
31,-0.04053353817115223,-0.043194874156263524,-0.04989639896166559,-0.052342145364942,-0.04482605033043519,0.0,0.0,0.0,0.0,0.0
32,-0.023681826845190806,-0.01968682927345695,-0.02114702423450865,-0.023686629079546943,-0.026419349197909472,0.25,0.0,0.25,0.0,0.0
